time,score,time_taken,timeout
2024-04-26 11:15:27.891546,0.56,0.0s,0

2024-04-26 11:16:46.087222,0.56,0.0s,0
2024-04-26 11:16:55.828078,2.81,0.0s,0
2024-04-26 11:17:24.479443,100.00,0.0s,0
2024-04-26 11:18:41.793482,90.00,0.0s,0
2024-04-26 11:20:02.211651,90.00,0.0s,0
2024-04-26 11:20:36.535074,90.00,0.0s,0
2024-04-26 11:21:25.427651,100.00,0.0s,0
2024-04-26 11:22:15.447227,100.00,0.0s,0
2024-04-26 11:23:01.893706,100.00,0.0s,0
2024-04-26 11:23:26.679219,100.00,0.0s,0
2024-04-26 11:25:08.178924,100.00,0.0s,0
2024-04-26 11:32:02.774959,100.00,0.0s,0
2024-04-26 11:32:40.545931,100.00,11.205s,0
2024-04-26 11:33:33.979479,100.00,7.234s,0
2024-04-26 11:34:10.959592,100.00,7.8s,0
2024-04-26 11:35:42.880888,100.00,8.284s,0
2024-04-26 11:42:02.303050,100.00,12.642s,0
2024-04-26 11:43:18.576755,69.73,13.959s,1
2024-04-26 11:43:47.667590,93.43,14.19s,1
2024-04-26 11:47:15.933289,12.63,13.542s,1
2024-04-26 11:47:49.537806,100.00,5.2s,0
2024-04-26 11:48:18.125587,100.00,6.88s,0
2024-04-26 12:10:42.247745,71.05,8.778s,1
2024-04-26 12:11:25.882214,100.00,10.853s,0
